Timestamp,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8
1763057775.6601827,27,36,39,91,55,74,93,29
1763057775.6826339,26,36,39,87,50,73,101,29
1763057775.7201402,28,40,39,100,57,72,108,30
1763057775.742656,29,35,40,103,59,70,111,32
1763057775.7801511,30,36,38,108,61,59,108,36
1763057775.8026354,28,44,46,104,70,64,96,34
1763057775.840124,33,42,47,99,65,72,90,33
1763057775.86265,32,44,49,95,63,69,88,30
1763057775.9002178,31,44,48,92,58,69,92,29
1763057775.922652,29,43,47,92,62,59,88,30
1763057775.9606082,28,39,53,92,67,59,88,31
1763057775.9826584,28,39,53,81,62,51,92,32
1763057776.0201828,27,54,56,78,62,59,97,32
1763057776.0426898,27,55,61,87,70,63,99,35
1763057776.065174,26,58,56,84,66,59,102,33
1763057776.1026652,28,54,58,77,53,50,98,35
1763057776.1251457,29,62,61,77,52,50,107,35
1763057776.162652,29,68,58,61,44,44,103,35
1763057776.1851315,28,70,62,71,43,48,102,33
1763057776.2226694,27,67,78,85,56,51,88,32
1763057776.245132,28,68,81,91,56,53,90,29
1763057776.2826514,27,72,92,86,58,51,94,29
1763057776.305157,28,71,102,83,57,54,88,30
1763057776.3426452,28,68,96,83,51,51,81,32
1763057776.3726895,29,64,92,92,67,53,86,30
1763057776.4026268,29,60,67,88,64,58,85,30
1763057776.4251583,28,66,66,101,63,55,75,32
1763057776.4626613,29,65,59,101,45,65,128,32
1763057776.4851358,27,64,60,127,48,63,126,31
1763057776.522687,29,52,53,118,53,58,129,29
1763057776.5451498,27,52,46,109,50,50,123,28
1763057776.5826461,28,41,42,87,56,57,78,23
1763057776.6051414,25,37,45,70,54,57,93,28
1763057776.6426542,30,35,48,109,63,61,103,30
1763057776.6644735,31,32,49,105,65,57,106,35
1763057776.6869857,30,34,49,107,63,55,112,36
1763057776.7244742,29,32,43,103,58,59,104,34
1763057776.7469711,29,30,46,80,54,61,102,36
1763057776.7844708,32,38,53,110,57,57,82,34
1763057776.8069587,30,40,53,118,56,54,67,33
1763057776.84446,30,40,48,121,55,43,67,31
1763057776.8669546,27,40,46,113,46,42,63,29
1763057776.9044938,30,38,43,100,38,56,85,32
1763057776.9284308,26,37,46,98,42,57,92,32
1763057776.964457,30,36,51,111,44,51,114,32
1763057776.9869509,29,36,53,107,48,45,112,34
1763057777.024495,30,34,49,95,50,53,124,30
1763057777.0469267,28,39,52,95,51,55,128,30
1763057777.070934,27,42,50,86,49,58,121,28
1763057777.106952,29,54,60,92,46,48,135,47
1763057777.1309445,26,59,67,88,47,50,144,49
1763057777.1669333,32,64,73,88,45,68,175,49
1763057777.2119882,33,67,107,83,42,64,159,35
1763057777.2434435,33,86,111,81,43,60,141,35
1763057777.2644396,29,91,122,85,46,56,103,35
1763057777.28697,25,89,101,78,46,71,89,34
1763057777.3244545,28,77,90,86,52,66,121,33
1763057777.3484561,28,94,100,94,51,68,125,34
1763057777.384453,36,118,101,90,46,54,132,33
1763057777.4069307,34,119,95,107,50,56,126,34
1763057777.444498,35,116,92,96,52,57,100,35
1763057777.4669242,29,95,82,91,52,53,115,34
1763057777.5059507,29,100,88,81,44,52,108,33
1763057777.5269513,31,105,91,85,45,56,108,32
1763057777.551128,32,101,88,83,49,55,117,28
1763057777.5869787,36,118,98,107,58,67,102,32
1763057777.6110177,34,104,90,107,66,74,111,32
1763057777.6469831,33,115,94,125,61,72,117,31
1763057777.6934752,33,115,103,104,58,67,135,29
1763057777.7234428,34,110,110,92,51,66,113,31
1763057777.7459576,30,98,98,86,57,62,116,29
1763057777.7669566,29,84,98,96,63,67,140,30
1763057777.7894619,28,83,92,114,64,69,125,33
1763057777.8269842,28,91,101,116,64,64,121,34
1763057777.8495069,28,89,102,122,58,63,124,34
1763057777.887017,31,89,107,120,52,54,133,30
1763057777.9095619,34,83,109,116,49,54,143,32
1763057777.9319308,32,73,102,111,49,62,150,29
1763057777.9694817,28,60,93,92,51,64,146,33
